Lat,Long,Venue_Type,Venue_Name,Created_On
35.66191632,139.7350967,shopping,GCゆきざき (GC Yukizaki),1580182467
35.66895489,139.761436,shopping,GCゆきざき (GC Yukizaki),1580182719
35.66335459,139.7329509,shopping,GCゆきざき Gem Castle (GC Yukizaki),1580182929
35.66377299,139.7314435,shopping,GCゆきざき (GC Yukizaki),1580183013
49.59568425,17.2501123,shopping,Marton's Work,1579299302
41.34153699,-73.90395641,sports,Gear Up Sports,1580512054
46.06041228,14.50686157,food,Žito trgovina,1582540407
44.29054261,15.12107134,lodging,Apartments VIRIĆ,1582546911
18.78568635,98.98180604,food,Boo Bar in Old City,1579342514
46.40337459,7.777615276,lodging,Alpine-apartment.ch,1579361207
49.20278359,16.62275434,default,DENKER US CARS,1579469497
44.49124379,11.32012904,shopping,Foto Impressioni,1580544933
45.80774313,9.084877968,shopping,La Borsetta Como,1580928664
44.48802158,11.33507431,lodging,B&B Central Avenue,1581435850
46.03605146,14.47815657,default,Biljardnica Direkt Bar,1582031980
45.77027705,18.87365341,attraction,Liberland,1578455787
46.02234913,14.52408135,cafe,Bar Pr'Florjan,1582033267
46.07562722,14.48318839,cafe,Kavarnica Golica,1582033502
46.07546348,14.48332787,cafe,Breza caffe no.2,1582033657
46.05889726,14.49713051,cafe,Mini Cafe Golf,1582034857
46.05117632,14.43900168,sports,Škulj Tenis Center,1582037539
46.0512061,14.43913043,sports,Indoor Golf Ljubljana,1582032482
46.05034608,14.51449513,cafe,Bar Mesto,1582038870
46.07944146,14.51160908,cafe,Kava Bar Komiža,1582039291
46.03978279,14.47129548,cafe,Kavarna Square 118,1582040362
46.07176061,14.48695958,cafe,Rendez Vous Bar,1582040595
46.06344221,14.49410498,cafe,Bolero Bar,1582041462
46.13776836,14.59836245,default,A1 Domžale,1582041718
4.35936107,-75.73855519,food,La Barra,1582074892
46.21004914,13.21299613,default,Pizzeria Aria 5,1582237751
46.86426611,15.21652579,sports,Divers Destination KG,1578080347
37.39578784,-6.000975966,lodging,APARTMENTS SEVILLE CENTER,1578162579
37.39449224,-5.991953015,lodging,DESIGN APARTMENT SEVILLE CENTER,1578162736
45.28345498,8.758522868,sports,Centro Ippico ASD Stella,1578162917
43.08851041,12.45836735,shopping,Filippo Angeloni Consulente Finanziario,1578579652
39.59059276,-0.4586952925,default,Maxcolchon,1578584976
39.67344058,-0.2485924959,default,Maxcolchon,1578590548
45.54961016,-73.67165565,atm,Bitcoin ATM @ Dépanneur Le Service,1578659472
55.70454354,37.42374659,transport,Parustrans International Movers,1578700145
-27.49188385,-58.92713428,food,GRAIN Trader Argentina,1578789087
28.67859188,-13.93785238,shopping,Gusty,1578789442
55.70521456,37.426579,default,Abroadly-expert,1578734263
41.27089617,31.43487811,shopping,Caner Akvaryum & Petshop,1578814347
29.72082765,-95.30900896,default,BereshkaWeb,1578763787
26.21856622,127.6878047,trezor retailer,PORTAANDGATE,1578819804
10.99325585,-74.80584919,default,brothertattoos,1578858209
11.00385081,-74.82576728,default,SEXOFANTASIAS,1578858677
9.215166948,-66.00011945,food,EL LLANERITO,1578939667
45.45174311,-92.45400131,default,mybookillustrator.com,1578952111
42.93404771,-72.27854848,default,KD Prestige Detailing,1579051403
44.29806832,15.08268356,lodging,Apartments Resort Jadro Mira,1579051972
44.30167724,15.06156921,lodging,VILLA MIRA,1579052122
7.739045844,98.76982457,atm,Exchange,1579058876
44.30276755,15.09813309,lodging,Apartments PLEŠA,1579105818
44.88652599,37.32467651,lodging,Zeleniy mir,1579112021
10.06824835,-69.28510666,default,Cripto Tesch,1579195308
49.73886538,13.38921726,shopping,pvatelier.cz,1579242682
44.48180244,11.36725008,lodging,B&BO la Frasca,1579273458
-34.60303796,-58.37520003,atm,Transfer Express,1579278691
42.93143979,-72.2761023,food,EuPHOria,1579498348
48.27496039,13.88853192,default,Zwei Fach,1579617131
48.29008918,14.29793358,shopping,Goldunion,1579617271
48.04147626,14.42591786,sports,MANDU Steyr,1579618093
47.98530447,14.12093997,default,Elektro Staudinger,1579618778
