Lat,Long,Venue_Type,Venue_Name,Created_On_Epoch,Created_On,Quarter,Year,Month
10.37764401,-75.49658239,food,QUESOS NENECO,1564682328,8/1/2019,Quarter 3,2019,8
40.64749893,22.92016268,default,Ταπετσαρίες αυτοκινήτων - ΚΑΡΑΜΠΕΡΗΣ ΧΡΗΣΤΟΣ,1530718484,7/4/2018,Quarter 3,2018,7
42.00052447,12.56463647,food,AZIENDA AGRICOLA FORTUNATO,1551976752,3/7/2019,Quarter 1,2019,3
-23.55804222,-46.66009963,shopping,KriptoBR,1534775809,8/20/2018,Quarter 3,2018,8
45.53996976,13.73485208,shopping,"Buzz, Planet Koper",1574094032,11/18/2019,Quarter 4,2019,11
10.18113243,-68.00502777,default,Soporte PC y Criptomonedas,1551983266,3/7/2019,Quarter 1,2019,3
22.32632341,114.2056757,food,Wandersnack,1564727493,8/2/2019,Quarter 3,2019,8
46.06830686,14.54380095,default,Clarus Dental,1571312234,10/17/2019,Quarter 4,2019,10
46.05613139,14.5081383,cafe,Trot Bar,1571312941,10/17/2019,Quarter 4,2019,10
33.49160726,49.05252814,default,فروشگاه پرکنی,1540247322,10/22/2018,Quarter 4,2018,10
7.821303606,-72.45497346,atm,Athena Bitcoin Cajero,1552056980,3/8/2019,Quarter 1,2019,3
7.685070484,-72.24411964,default,REPRESENTACIONES PLAST ,1530729864,7/4/2018,Quarter 3,2018,7
7.771344184,-72.2261703,default,COMERCIALIZADORA PIVECA CA,1530730169,7/4/2018,Quarter 3,2018,7
22.28473335,114.1509104,default,Bitcoin ATM,1564732529,8/2/2019,Quarter 3,2019,8
46.0729143,14.46878493,default,Avtoservis Belec,1544179564,12/7/2018,Quarter 4,2018,12
46.54048785,15.60733438,food,Mlada lipa,1544179669,12/7/2018,Quarter 4,2018,12
21.88233782,-102.2921991,cafe,Cafetería Petrona,1536940505,9/14/2018,Quarter 3,2018,9
52.3641752,4.8878505,default,?,1546611573,1/4/2019,Quarter 1,2019,1
37.31029835,49.58810627,food,Nourcastle Restaurant Chain,1536600108,9/10/2018,Quarter 3,2018,9
52.38144446,4.635913968,default,All Crypto Whitepapers,1534776476,8/20/2018,Quarter 3,2018,8
46.05076306,14.50231254,food,Surf'n'Fries,1571313885,10/17/2019,Quarter 4,2019,10
46.05085242,14.50210869,cafe,Parlament Pub,1571314383,10/17/2019,Quarter 4,2019,10
46.04685376,14.50610518,cafe,TOZD bar,1545036217,12/17/2018,Quarter 4,2018,12
46.03625628,14.48940039,default,iDoktor,1545036309,12/17/2018,Quarter 4,2018,12
51.95870655,5.897319317,shopping,Groente & Fruitkraam,1544179854,12/7/2018,Quarter 4,2018,12
52.18980881,5.410884619,default,OOSEOO Internetmarketing,1534842703,8/21/2018,Quarter 3,2018,8
46.56009229,15.65091491,cafe,Central Caffe,1545214511,12/19/2018,Quarter 4,2018,12
47.99484359,14.13359463,default,Denkapperat,1564741658,8/2/2019,Quarter 3,2019,8
48.07537291,14.04606342,transport,Autohaus Bamminger,1564741907,8/2/2019,Quarter 3,2019,8
48.16831442,16.38087273,default,Apotheke U1 Troststraße,1552127427,3/9/2019,Quarter 1,2019,3
48.47656297,-122.074585,default,ICE DR Inc,1537136517,9/16/2018,Quarter 3,2018,9
46.05084497,14.50212479,nightlife,Jet Bar,1571314827,10/17/2019,Quarter 4,2019,10
13.45190075,101.3036442,default,Hashbx.com,1515491377,1/9/2018,Quarter 1,2018,1
46.04902066,14.50648606,default,Delta96,1571316055,10/17/2019,Quarter 4,2019,10
46.06781185,14.54194486,default,Toys4U Didaktične igrače,1571319752,10/17/2019,Quarter 4,2019,10
50.84206873,2.87199676,default,Sauna Relaxation,1552226257,3/10/2019,Quarter 1,2019,3
49.94055994,17.89761364,cafe,SAFARI BAR,1538555689,10/3/2018,Quarter 4,2018,10
35.66191632,139.7350967,shopping,GCゆきざき (GC Yukizaki),1580182467,1/28/2020,Quarter 1,2020,1
35.66895489,139.761436,shopping,GCゆきざき (GC Yukizaki),1580182719,1/28/2020,Quarter 1,2020,1
20.57239273,-100.3771824,sports,Yoga classes,1552252519,3/10/2019,Quarter 1,2019,3
39.81290404,32.71164715,cafe,Marry Garden,1552293671,3/11/2019,Quarter 1,2019,3
9.418538334,-83.69161606,attraction,CoopeProgreso R.L,1552315054,3/11/2019,Quarter 1,2019,3
47.98521829,13.81756604,food,Sportland,1564742534,8/2/2019,Quarter 3,2019,8
35.66335459,139.7329509,shopping,GCゆきざき Gem Castle (GC Yukizaki),1580182929,1/28/2020,Quarter 1,2020,1
-17.79772716,-50.9236908,shopping,VIA ROSA SHOWROOM,1552088641,3/8/2019,Quarter 1,2019,3
46.55242696,15.67837,default,Rent-a-mini,1544180352,12/7/2018,Quarter 4,2018,12
46.16460335,14.57375586,default,Amanzi,1564743066,8/2/2019,Quarter 3,2019,8
44.12320812,-70.25997162,lodging,Maine Greenyards,1552335864,3/11/2019,Quarter 1,2019,3
-20.34985782,-40.31134844,transport,JATEC,1552338691,3/11/2019,Quarter 1,2019,3
46.06761459,14.54188049,default,Salon pohištva YES Ljubljana,1571321047,10/17/2019,Quarter 4,2019,10
48.30471751,14.28685606,shopping,Timberland Store Linz,1564742784,8/2/2019,Quarter 3,2019,8
35.66377299,139.7314435,shopping,GCゆきざき (GC Yukizaki),1580183013,1/28/2020,Quarter 1,2020,1
51.87103615,5.956504941,default,Harry Schouten Vormgeving,1544180435,12/7/2018,Quarter 4,2018,12
46.02184254,14.41536069,shopping,Oblačila Karin,1544180616,12/7/2018,Quarter 4,2018,12
48.219619,16.38638735,lodging,Hotel Vienna,1564752530,8/2/2019,Quarter 3,2019,8
48.21962257,16.38622105,nightlife,Kryptohotel,1564752424,8/2/2019,Quarter 3,2019,8
40.77969652,-73.77559662,default,Eugene Grudnikoff,1564761641,8/2/2019,Quarter 3,2019,8
40.68678876,-73.42430234,default,Eugene Grudnikoff,1564761963,8/2/2019,Quarter 3,2019,8
38.61257832,-0.6921386719,default,Aceite magico de Clemont,1577558714,12/28/2019,Quarter 4,2019,12
45.43391029,12.33805954,default,Venice Crypto Project,1533501375,8/5/2018,Quarter 3,2018,8
19.34006848,-98.95236075,food,Elotes y esquites Dany,1538673136,10/4/2018,Quarter 4,2018,10
-33.54336196,-70.58045805,default,Web Hosting Chile,1564961440,8/4/2019,Quarter 3,2019,8
42.33659539,23.55909169,shopping,OLDESSEY shop ,1564985201,8/5/2019,Quarter 3,2019,8
4.822246165,-75.68213761,shopping,Tienda Mixta y Variedades Victoria,1571326063,10/17/2019,Quarter 4,2019,10
52.21390803,20.96121669,default,Freeje,1565004252,8/5/2019,Quarter 3,2019,8
13.7694137,100.5734879,default,Hashbx.io,1534846268,8/21/2018,Quarter 3,2018,8
40.67286744,-73.93091798,shopping,Paralysisordeath Tattoos,1533525218,8/6/2018,Quarter 3,2018,8
-32.91405357,-68.82182479,shopping,Renno,1565014833,8/5/2019,Quarter 3,2019,8
10.60849674,-67.01026082,lodging,POSADA VILLA DEL CARMEN,1533526027,8/6/2018,Quarter 3,2018,8
49.29287864,17.3983258,default,Gremlica.cz,1537723856,9/23/2018,Quarter 3,2018,9
3.532316304,-76.29640102,shopping,Servicios M8,1533567704,8/6/2018,Quarter 3,2018,8
40.47976938,-3.685011864,sports,Fit-Fast,1571388426,10/18/2019,Quarter 4,2019,10
40.50487525,-3.369090557,sports,Fit-Fast,1571388541,10/18/2019,Quarter 4,2019,10
48.08512831,7.349606752,lodging,EM LIFE COLMAR,1571391714,10/18/2019,Quarter 4,2019,10
55.38596122,-119.6425295,atm,Amendt Computer,1571406113,10/18/2019,Quarter 4,2019,10
4.147440423,-73.61774325,food,Ben - Yos,1540367945,10/24/2018,Quarter 4,2018,10
50.04337425,14.43392158,default,Harmony.cz,1534847846,8/21/2018,Quarter 3,2018,8
38.53725648,-0.1426452398,food,Pollo Expresss Gourmet,1533629529,8/7/2018,Quarter 3,2018,8
49.59568425,17.2501123,shopping,Marton's Work,1579299302,1/17/2020,Quarter 1,2020,1
-30.02328526,-51.19352102,food,Chopperia Maryland,1540250685,10/22/2018,Quarter 4,2018,10
51.00165055,5.861586928,food,Jay's Streetfood,1544182273,12/7/2018,Quarter 4,2018,12
52.37386345,4.963545799,atm,Doner Imperium,1544269803,12/8/2018,Quarter 4,2018,12
10.49010114,-66.87075377,default,Pajarolandia 2000 C.A,1534865223,8/21/2018,Quarter 3,2018,8
48.72598798,21.25724673,food,Robin Street Food,1534872736,8/21/2018,Quarter 3,2018,8
39.55404344,2.59648025,atm,Cafeteria - Monaco 12,1544454634,12/10/2018,Quarter 4,2018,12
46.5602509,15.65006733,default,Q Vapehouse poslovalnica ena,1545227240,12/19/2018,Quarter 4,2018,12
46.05628774,14.50819731,default,Q Vapehouse poslovalnica Ena,1545231446,12/19/2018,Quarter 4,2018,12
46.21103659,6.135172248,atm,Asian Spices,1546359817,1/1/2019,Quarter 1,2019,1
44.40795646,26.12637341,shopping,evoMAG.ro,1536870776,9/13/2018,Quarter 3,2018,9
34.69881635,135.5034238,food,びっくり焼亭梅田本店,1533700134,8/8/2018,Quarter 3,2018,8
28.10591766,-15.42014301,default,Getmado,1533751630,8/8/2018,Quarter 3,2018,8
-31.42151294,-64.18640971,default,Estudio Arrigoni,1533755233,8/8/2018,Quarter 3,2018,8
41.34153699,-73.90395641,sports,Gear Up Sports,1580512054,1/31/2020,Quarter 1,2020,1
46.06041228,14.50686157,food,Žito trgovina,1582540407,2/24/2020,Quarter 1,2020,2
44.29054261,15.12107134,lodging,Apartments VIRIĆ,1582546911,2/24/2020,Quarter 1,2020,2
7.850888457,98.35277438,atm,Royal Tour And Travel,1545673967,12/24/2018,Quarter 4,2018,12
7.848550231,98.33791494,atm,Tarn Tara Spa,1545673861,12/24/2018,Quarter 4,2018,12
-10.18549892,-75.14827609,nightlife,Bar Don Ercio,1571492644,10/19/2019,Quarter 4,2019,10
18.78568635,98.98180604,food,Boo Bar in Old City,1579342514,1/18/2020,Quarter 1,2020,1
46.40337459,7.777615276,lodging,Alpine-apartment.ch,1579361207,1/18/2020,Quarter 1,2020,1
36.33025242,59.52275634,default,شرکت تبلیغات سی یاس,1540633461,10/27/2018,Quarter 4,2018,10
42.6836697,23.2983005,shopping,zakucheto.com,1541698681,11/8/2018,Quarter 4,2018,11
4.712041262,-74.1100359,default,Colina Carnívora,1571620462,10/21/2019,Quarter 4,2019,10
46.07477503,14.51108336,default,A1 Bežigrad,1571646150,10/21/2019,Quarter 4,2019,10
46.04968338,14.50223207,default,Chutys restavracija,1571646597,10/21/2019,Quarter 4,2019,10
46.05018227,14.50496793,default,Chutys takeaway,1571646932,10/21/2019,Quarter 4,2019,10
-33.45219354,-70.58794677,default,Web Personas,1533757904,8/8/2018,Quarter 3,2018,8
49.5865769,17.25855589,atm,ATM btc (Šantovka),1540820965,10/29/2018,Quarter 4,2018,10
4.150800449,-73.62293601,food,TORTAS Y POSTRES DEL LLANO,1533782411,8/9/2018,Quarter 3,2018,8
-38.95497453,-68.05087209,default,Malón Coworking,1539026169,10/8/2018,Quarter 4,2018,10
4.621169866,-74.13471222,atm,COMPRA VENTA DE BITCOIN Y CRIPTOMONEDAS BITKINGS,1537456208,9/20/2018,Quarter 3,2018,9
4.617501829,-74.08653975,atm,VENTA Y CMPRA DE CRIPTOMONEDAS BITCOIN Y CRYPT,1537456432,9/20/2018,Quarter 3,2018,9
