,Lat,Long,Venue_Type,Venue_Name,Created_On,latlong,Country
0,35.66191632,139.73509669999999,shopping,GCゆきざき (GC Yukizaki),1580182467,"(35.66191632, 139.73509669999999)",JP
1,35.66895489,139.761436,shopping,GCゆきざき (GC Yukizaki),1580182719,"(35.66895489, 139.761436)",JP
2,35.66335459,139.73295090000002,shopping,GCゆきざき Gem Castle (GC Yukizaki),1580182929,"(35.66335459, 139.73295090000002)",JP
3,35.66377299,139.7314435,shopping,GCゆきざき (GC Yukizaki),1580183013,"(35.66377299, 139.7314435)",JP
4,49.59568425,17.2501123,shopping,Marton's Work,1579299302,"(49.59568425, 17.2501123)",CZ
5,41.34153699,-73.90395641,sports,Gear Up Sports,1580512054,"(41.34153699, -73.90395641)",US
6,46.06041228,14.50686157,food,Žito trgovina,1582540407,"(46.06041228, 14.50686157)",SI
7,44.29054261,15.12107134,lodging,Apartments VIRIĆ,1582546911,"(44.29054261, 15.12107134)",HR
8,18.78568635,98.98180604,food,Boo Bar in Old City,1579342514,"(18.78568635, 98.98180604)",TH
9,46.40337459,7.777615276000001,lodging,Alpine-apartment.ch,1579361207,"(46.40337459, 7.777615276000001)",CH
10,49.20278359,16.62275434,default,DENKER US CARS,1579469497,"(49.20278359, 16.62275434)",CZ
11,44.49124379,11.32012904,shopping,Foto Impressioni,1580544933,"(44.49124379, 11.32012904)",IT
12,45.80774313,9.084877967999999,shopping,La Borsetta Como,1580928664,"(45.80774313, 9.084877967999999)",IT
13,44.48802158,11.33507431,lodging,B&B Central Avenue,1581435850,"(44.48802158, 11.33507431)",IT
14,46.03605146,14.47815657,default,Biljardnica Direkt Bar,1582031980,"(46.03605146, 14.47815657)",SI
15,45.77027705,18.87365341,attraction,Liberland,1578455787,"(45.77027705, 18.87365341)",HR
16,46.02234913,14.52408135,cafe,Bar Pr'Florjan,1582033267,"(46.02234913, 14.52408135)",SI
17,46.07562722,14.48318839,cafe,Kavarnica Golica,1582033502,"(46.07562722, 14.48318839)",SI
18,46.07546348,14.48332787,cafe,Breza caffe no.2,1582033657,"(46.07546348, 14.48332787)",SI
19,46.05889726,14.49713051,cafe,Mini Cafe Golf,1582034857,"(46.05889726, 14.49713051)",SI
20,46.05117632,14.43900168,sports,Škulj Tenis Center,1582037539,"(46.05117632, 14.43900168)",SI
21,46.0512061,14.43913043,sports,Indoor Golf Ljubljana,1582032482,"(46.0512061, 14.43913043)",SI
22,46.05034608,14.51449513,cafe,Bar Mesto,1582038870,"(46.05034608, 14.51449513)",SI
23,46.07944146,14.51160908,cafe,Kava Bar Komiža,1582039291,"(46.07944146, 14.51160908)",SI
24,46.03978279,14.47129548,cafe,Kavarna Square 118,1582040362,"(46.03978279, 14.47129548)",SI
25,46.07176061,14.48695958,cafe,Rendez Vous Bar,1582040595,"(46.07176061, 14.48695958)",SI
26,46.06344221,14.49410498,cafe,Bolero Bar,1582041462,"(46.06344221, 14.49410498)",SI
27,46.13776836,14.59836245,default,A1 Domžale,1582041718,"(46.13776836, 14.59836245)",SI
28,4.35936107,-75.73855519,food,La Barra,1582074892,"(4.35936107, -75.73855519)",CO
29,46.21004914,13.21299613,default,Pizzeria Aria 5,1582237751,"(46.21004914, 13.21299613)",IT
30,46.86426611,15.21652579,sports,Divers Destination KG,1578080347,"(46.86426611, 15.21652579)",AT
31,37.39578784,-6.000975966,lodging,APARTMENTS SEVILLE CENTER,1578162579,"(37.39578784, -6.000975966)",ES
32,37.39449224,-5.991953015,lodging,DESIGN APARTMENT SEVILLE CENTER,1578162736,"(37.39449224, -5.991953015)",ES
33,45.28345498,8.758522868,sports,Centro Ippico ASD Stella,1578162917,"(45.28345498, 8.758522868)",IT
34,43.08851041,12.45836735,shopping,Filippo Angeloni Consulente Finanziario,1578579652,"(43.08851041, 12.45836735)",IT
35,39.59059276,-0.4586952925,default,Maxcolchon,1578584976,"(39.59059276, -0.4586952925)",ES
36,39.67344058,-0.2485924959,default,Maxcolchon,1578590548,"(39.67344058, -0.2485924959)",ES
37,45.54961016,-73.67165565,atm,Bitcoin ATM @ Dépanneur Le Service,1578659472,"(45.54961016, -73.67165565)",CA
38,55.70454354,37.42374659,transport,Parustrans International Movers,1578700145,"(55.70454354, 37.42374659)",RU
39,-27.49188385,-58.92713428,food,GRAIN Trader Argentina,1578789087,"(-27.49188385, -58.92713428)",AR
40,28.67859188,-13.93785238,shopping,Gusty,1578789442,"(28.67859188, -13.93785238)",ES
41,55.70521456,37.426579,default,Abroadly-expert,1578734263,"(55.70521456, 37.426579)",RU
42,41.27089617,31.43487811,shopping,Caner Akvaryum & Petshop,1578814347,"(41.27089617, 31.43487811)",TR
43,29.72082765,-95.30900896,default,BereshkaWeb,1578763787,"(29.72082765, -95.30900896)",US
44,26.21856622,127.6878047,trezor retailer,PORTAANDGATE,1578819804,"(26.21856622, 127.6878047)",JP
45,10.99325585,-74.80584919,default,brothertattoos,1578858209,"(10.99325585, -74.80584919)",CO
46,11.00385081,-74.82576728,default,SEXOFANTASIAS,1578858677,"(11.00385081, -74.82576728)",CO
47,9.215166948,-66.00011945,food,EL LLANERITO,1578939667,"(9.215166948, -66.00011945)",VE
48,45.45174311,-92.45400131,default,mybookillustrator.com,1578952111,"(45.45174311, -92.45400131)",US
49,42.93404771,-72.27854848,default,KD Prestige Detailing,1579051403,"(42.93404771, -72.27854848)",US
50,44.29806832,15.08268356,lodging,Apartments Resort Jadro Mira,1579051972,"(44.29806832, 15.08268356)",HR
51,44.30167724,15.06156921,lodging,VILLA MIRA,1579052122,"(44.30167724, 15.06156921)",HR
52,7.739045844,98.76982457,atm,Exchange,1579058876,"(7.739045844, 98.76982457)",TH
53,44.30276755,15.09813309,lodging,Apartments PLEŠA,1579105818,"(44.30276755, 15.09813309)",HR
54,44.88652599,37.32467651,lodging,Zeleniy mir,1579112021,"(44.88652599, 37.32467651)",RU
55,10.06824835,-69.28510666,default,Cripto Tesch,1579195308,"(10.06824835, -69.28510666)",VE
56,49.73886538,13.38921726,shopping,pvatelier.cz,1579242682,"(49.73886538, 13.38921726)",CZ
57,44.48180244,11.36725008,lodging,B&BO la Frasca,1579273458,"(44.48180244, 11.36725008)",IT
58,-34.60303796,-58.37520003,atm,Transfer Express,1579278691,"(-34.60303796, -58.37520003)",AR
59,42.93143979,-72.27610229999999,food,EuPHOria,1579498348,"(42.93143979, -72.27610229999999)",US
60,48.27496039,13.88853192,default,Zwei Fach,1579617131,"(48.27496039, 13.88853192)",AT
61,48.29008918,14.29793358,shopping,Goldunion,1579617271,"(48.29008918, 14.29793358)",AT
62,48.04147626,14.42591786,sports,MANDU Steyr,1579618093,"(48.04147626, 14.42591786)",AT
63,47.98530447,14.12093997,default,Elektro Staudinger,1579618778,"(47.98530447, 14.12093997)",AT
64,48.30161661,14.29195225,default,Xu-Wok & More,1579619053,"(48.30161661, 14.29195225)",AT
65,48.29859761,14.29002106,default,Textilreinigung Pilz,1579619395,"(48.29859761, 14.29002106)",AT
66,-33.41958135,-70.60901821,shopping,SMARTCTL,1579642171,"(-33.41958135, -70.60901821)",CL
67,40.08480277,-75.25939465,default,"Team Economics, LLC",1579714154,"(40.08480277, -75.25939465)",US
68,40.08715858,-82.98439801,atm,Bitcoin ATM,1579209809,"(40.08715858, -82.98439801)",US
69,45.81326216,15.99782109,food,Jellyfish in Space,1579775539,"(45.81326216, 15.99782109)",HR
70,42.93109023,-72.28055477,default,Pure Bliss Cleaning Service,1579662570,"(42.93109023, -72.28055477)",US
71,41.36400671,-82.10383415,atm,Bitcoin ATM,1579725435,"(41.36400671, -82.10383415)",US
72,37.9329183,-77.47756541,atm,Bitcoin ATM,1579993187,"(37.9329183, -77.47756541)",US
73,36.80708566,-77.46315122,atm,Bitcoin ATM,1579993601,"(36.80708566, -77.46315122)",US
74,55.35779476,86.16631866,default,"Green Gorillaz | Fitness club ""Leningradsky""",1579860541,"(55.35779476, 86.16631866)",RU
75,55.40193159,86.01482749,default,"Green Gorillaz | Fitness club ""Kirovsky""",1579860669,"(55.40193159, 86.01482749)",RU
76,-19.90799913,-43.94433618,default,RF Engenharia,1579812211,"(-19.90799913, -43.94433618)",BR
77,55.74825966,37.53720939,food,M-CITY resto grill bar,1579782380,"(55.74825966, 37.53720939)",RU
78,55.79410425,37.59196401,shopping,"ZEONDIGITAL | Shop ""Sound Arena""",1579855805,"(55.79410425, 37.59196401)",RU
79,55.76356428,37.654411200000006,cafe,Tsifra | Cafeteria,1579856026,"(55.76356428, 37.654411200000006)",RU
